Action(SiteID=US|Country=US|Currency=USD|Version=585|CC=ISO-8859-1),OrderID,ItemID,TransactionID,ShippingStatus,ShippingCarrierUsed,ShipmentTrackingNumber
Status,,381012446385,699351437025,1,,
Status,,381505278394,699354276025,1,,
Status,,380876476217,699354684025,1,,
Status,,131461053757,1211594624003,1,,
Status,,311492133928,668439423021,1,,
Status,,311295651302,668441185021,1,,
Status,,310245946895,668442377021,1,,
Status,,310692690995,668442509021,1,,
Status,,131654765542,1211601462003,0,,
Status,,311093252339,668443368021,1,,
Status,,311584445051,668443755021,1,,
Status,,140473926901,1253220550004,1,,
Status,,120313001638,1617224744002,0,,
Status,,131753403387,1211605919003,0,,
Status,,381570533562,699366246025,0,,
Status,,381486651831,699370188025,1,,
Status,,131158757848,1211614148003,1,,
Status,,140426119965,1253230702004,0,,
Status,,131095931498,1211614896003,0,,
Status,,381443977204,699374233025,1,,
Status,,311468961192,668454807021,1,,
Status,,310926301788,668463827021,1,,
Status,,140332394326,1253247484004,1,,
Status,,130951048562,1211630573003,1,,
Status,,131376432485,1211630636003,1,,
Status,,131476620303,1211631157003,1,,
Status,,120860445508,1617257134002,1,,
Status,,310833653389,668468759021,1,,
Status,,131671220956,1211637030003,1,,
Status,,400148917095,537303673027,1,,
Status,,311488806959,668472361021,1,,
Status,,310245535346,668473888021,1,,
Status,,380884948217,699400341025,1,,
Status,,310378894361,668479782021,1,,
Status,,131415542944,1211649062003,1,,
Status,,310245945508,668481332021,1,,
Status,,381452467212,699407391025,1,,
Status,,381305585767,699409489025,1,,
Status,,311514447859,668485797021,1,,
Status,,311031557693,668487618021,1,,
Status,,381486651654,699414293025,1,,
Status,,131656399242,1211661741003,0,,
Status,,311550228600,668491142021,1,,
Status,,380899019730,699416043025,0,,
Status,,131656399242,1211663252003,1,,
Status,,310376896875,668492165021,1,,
Status,,131656399242,1211664615003,0,,
Status,,311321283176,668494882021,1,,
Status,,311464817009,668496741021,1,,
Status,,311514448329,668505104021,1,,
Status,,380812452157,699433192025,0,,
Status,,381299661599,699436450025,1,,
Status,,310224768811,668511914021,0,,
Status,208175299010,208175299010,,0,,
Status,,381580047637,699440744025,0,,
Status,,380877064163,699443687025,0,,
Status,,130741238582,1211700661003,1,,
Status,,120960593521,1617338693002,1,,
Status,,400148911426,537354038027,1,,
Status,,130642487390,1211713401003,0,,
Status,,310376889287,668529320021,0,,
Status,,311520581712,668532637021,0,,
Status,,310378895257,668540073021,0,,
Status,,381591742587,699476097025,1,,
Status,,380900410029,699477052025,0,,
Status,208186335010,208186335010,,0,,
Status,,131516642050,1211752282003,1,,
Status,,400172171161,537382105027,1,,
Status,,140446748792,1253380167004,1,,
Status,,400151931572,537384614027,0,,
Status,,381393941582,699494856025,1,,
Status,,380959559969,699496017025,1,,
Status,,381199122003,699501368025,0,,
Status,,381591742297,699502704025,0,,
Status,,400148456907,537401692027,1,,
Status,,381572083117,699508426025,1,,
Status,,310245946222,668581815021,1,,
Status,,380757328200,699508980025,1,,
Status,,381383810251,699509145025,1,,
Status,,310245948215,668583132021,1,,
Status,,400148905353,537410970027,1,,
Status,,310847035679,668588424021,0,,
Status,,131095931564,1211797292003,1,,
Status,,131180377048,1211803980003,0,,
Status,,310918384748,668594227021,1,,
Status,,311422402816,668596285021,1,,
Status,,381587003561,699525639025,1,,
Status,,310901607166,668597838021,1,,
Status,,131553325127,1211810442003,1,,
Status,,120854247343,1617477175002,1,,
Status,,380866491618,699528934025,1,,
Status,,311488750805,668601581021,1,,
Status,208197894010,208197894010,,1,,
Status,,310245940553,668609472021,1,,
Status,,310901607525,668613236021,1,,
Status,,310221294417,668613396021,1,,
Status,,131736739038,1211831645003,1,,
Status,,381513356119,699543171025,1,,
Status,,400148910591,537436443027,1,,
Status,,381145530410,699550987025,1,,
Status,,131593512446,1211844638003,1,,
Status,,381557808631,699554209025,0,,
Status,,380871367259,699564168025,1,,
Status,,380918580688,699564469025,1,,
Status,,381233915553,699567617025,1,,
Status,,130932579769,1211862899003,1,,
Status,,131510131131,1211863768003,1,,
Status,,311514454699,668639032021,1,,
Status,,381266025288,699572372025,1,,
Status,208207032010,208207032010,,1,,
Status,,310796799702,668646628021,1,,
Status,,400148916289,537470161027,1,,
Status,,131144197323,1211879977003,1,,
Status,,131467107424,1211882809003,1,,
Status,,381452469231,699585974025,1,,
Status,,381458629346,699593540025,1,,
Status,,131621186761,1211894365003,0,,
Status,,311325547098,668662789021,1,,
Status,,131337088497,1211898845003,1,,
Status,,310878613672,668669273021,1,,
